year,seção_id,seção_descrição,divisão_id,divisão_descrição,numero_de_empresas,pessoal_ocupado_total,pessoal_ocupado_assalariados,alto_crescimento
2014,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",1,"Agricultura, pecuária e serviços relacionados",228,45258,44733,Alto Crescimento
2014,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",2,Produção florestal,79,14655,14458,Alto Crescimento
2014,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",3,Pesca e aquicultura,19,2126,2079,Alto Crescimento
2014,B,Indústrias extrativas,5,Extração de carvão mineral,1,-1,-1,Alto Crescimento
2014,B,Indústrias extrativas,6,Extração de petróleo e gás natural,4,-1,-1,Alto Crescimento
2014,B,Indústrias extrativas,7,Extração de minerais metálicos,23,8356,8315,Alto Crescimento
2014,B,Indústrias extrativas,8,Extração de minerais não-metálicos,108,6221,6041,Alto Crescimento
2014,B,Indústrias extrativas,9,Atividades de apoio à extração de minerais,19,13800,13788,Alto Crescimento
2014,C,Indústrias de transformação,10,Fabricação de produtos alimentícios,903,221576,220128,Alto Crescimento
2014,C,Indústrias de transformação,11,Fabricação de bebidas,69,52919,52840,Alto Crescimento
2014,C,Indústrias de transformação,12,Fabricação de produtos do fumo,6,622,612,Alto Crescimento
2014,C,Indústrias de transformação,13,Fabricação de produtos têxteis,234,24230,23875,Alto Crescimento
2014,C,Indústrias de transformação,14,Confecção de artigos do vestuário e acessórios,933,82655,81346,Alto Crescimento
2014,C,Indústrias de transformação,15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",358,44437,43925,Alto Crescimento
2014,C,Indústrias de transformação,16,Fabricação de produtos de madeira,225,16509,16171,Alto Crescimento
2014,C,Indústrias de transformação,17,"Fabricação de celulose, papel e produtos de papel",121,16005,15841,Alto Crescimento
2014,C,Indústrias de transformação,18,Impressão e reprodução de gravações,113,8264,8107,Alto Crescimento
2014,C,Indústrias de transformação,19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",24,18353,18325,Alto Crescimento
2014,C,Indústrias de transformação,20,Fabricação de produtos químicos,238,39597,39212,Alto Crescimento
2014,C,Indústrias de transformação,21,Fabricação de produtos farmoquímicos e farmacêuticos,30,12348,12312,Alto Crescimento
2014,C,Indústrias de transformação,22,Fabricação de produtos de borracha e de material plástico,449,46469,45803,Alto Crescimento
2014,C,Indústrias de transformação,23,Fabricação de produtos de minerais não-metálicos,488,39693,38928,Alto Crescimento
2014,C,Indústrias de transformação,24,Metalurgia,99,16393,16257,Alto Crescimento
2014,C,Indústrias de transformação,25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",557,44640,43820,Alto Crescimento
2014,C,Indústrias de transformação,26,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",97,23559,23391,Alto Crescimento
2014,C,Indústrias de transformação,27,"Fabricação de máquinas, aparelhos e materiais elétricos",131,31305,31097,Alto Crescimento
2014,C,Indústrias de transformação,28,Fabricação de máquinas e equipamentos,364,40044,39486,Alto Crescimento
2014,C,Indústrias de transformação,29,"Fabricação de veículos automotores, reboques e carrocerias",136,30164,29963,Alto Crescimento
2014,C,Indústrias de transformação,30,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",44,33081,33019,Alto Crescimento
2014,C,Indústrias de transformação,31,Fabricação de móveis,338,25640,25130,Alto Crescimento
2014,C,Indústrias de transformação,32,Fabricação de produtos diversos,188,14959,14687,Alto Crescimento
2014,C,Indústrias de transformação,33,"Manutenção, reparação e instalação de máquinas e equipamentos",254,23137,22770,Alto Crescimento
2014,D,Eletricidade e gás,35,"Eletricidade, gás e outras utilidades",28,-1,-1,Alto Crescimento
2014,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",36,"Captação, tratamento e distribuição de água",10,-1,-1,Alto Crescimento
2014,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",37,Esgoto e atividades relacionadas,26,3926,3900,Alto Crescimento
2014,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",38,"Coleta, tratamento e disposição de resíduos; recuperação de materiais",135,46623,46435,Alto Crescimento
2014,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",39,Descontaminação e outros serviços de gestão de resíduos,2,-1,-1,Alto Crescimento
2014,F,Construção,41,Construção de edifícios,1950,262360,259357,Alto Crescimento
2014,F,Construção,42,Obras de infraestrutura,704,268940,267810,Alto Crescimento
2014,F,Construção,43,Serviços especializados para construção,1149,111135,109442,Alto Crescimento
2014,G,Comércio; reparação de veículos automotores e motocicletas,45,Comércio e reparação de veículos automotores e motocicletas,708,53311,52408,Alto Crescimento
2014,G,Comércio; reparação de veículos automotores e motocicletas,46,"Comércio por atacado, exceto veículos automotores e motocicletas",2119,215771,212654,Alto Crescimento
2014,G,Comércio; reparação de veículos automotores e motocicletas,47,Comércio varejista,5437,506822,499152,Alto Crescimento
2014,H,"Transporte, armazenagem e correio",49,Transporte terrestre,1658,220999,218189,Alto Crescimento
2014,H,"Transporte, armazenagem e correio",50,Transporte aquaviário,43,5922,5868,Alto Crescimento
2014,H,"Transporte, armazenagem e correio",51,Transporte aéreo,12,11519,11493,Alto Crescimento
2014,H,"Transporte, armazenagem e correio",52,Armazenamento e atividades auxiliares dos transportes,384,60768,60085,Alto Crescimento
2014,H,"Transporte, armazenagem e correio",53,Correio e outras atividades de entrega,121,10067,9909,Alto Crescimento
2014,I,Alojamento e alimentação,55,Alojamento,266,22482,22055,Alto Crescimento
2014,I,Alojamento e alimentação,56,Alimentação,1457,142125,140027,Alto Crescimento
2014,J,Informação e comunicação,58,Edição e edição integrada à impressão,53,6181,6095,Alto Crescimento
2014,J,Informação e comunicação,59,"Atividades cinematográficas, produção de vídeos e de programas de televisão; gravação de som e edição de música",20,3014,2978,Alto Crescimento
2014,J,Informação e comunicação,60,Atividades de rádio e de televisão,39,5975,5932,Alto Crescimento
2014,J,Informação e comunicação,61,Telecomunicações,173,40421,40122,Alto Crescimento
2014,J,Informação e comunicação,62,Atividades dos serviços de tecnologia da informação,505,71698,70716,Alto Crescimento
2014,J,Informação e comunicação,63,Atividades de prestação de serviços de informação,100,12753,12586,Alto Crescimento
2014,K,"Atividades financeiras, de seguros e serviços relacionados",64,Atividades de serviços financeiros,205,27329,26160,Alto Crescimento
2014,K,"Atividades financeiras, de seguros e serviços relacionados",65,"Seguros, resseguros, previdência complementar e planos de saúde",60,24365,24019,Alto Crescimento
2014,K,"Atividades financeiras, de seguros e serviços relacionados",66,"Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde",106,13021,12767,Alto Crescimento
2014,L,Atividades imobiliárias,68,Atividades imobiliárias,149,11856,11557,Alto Crescimento
2014,M,"Atividades profissionais, científicas e técnicas",69,"Atividades jurídicas, de contabilidade e de auditoria",395,20957,19999,Alto Crescimento
2014,M,"Atividades profissionais, científicas e técnicas",70,Atividades de sedes de empresas e de consultoria em gestão empresarial,93,19545,19327,Alto Crescimento
2014,M,"Atividades profissionais, científicas e técnicas",71,Serviços de arquitetura e engenharia; testes e análises técnicas,384,47639,46884,Alto Crescimento
2014,M,"Atividades profissionais, científicas e técnicas",72,Pesquisa e desenvolvimento científico,3,261,256,Alto Crescimento
2014,M,"Atividades profissionais, científicas e técnicas",73,Publicidade e pesquisa de mercado,105,11815,11631,Alto Crescimento
2014,M,"Atividades profissionais, científicas e técnicas",74,"Outras atividades profissionais, científicas e técnicas",81,9100,8942,Alto Crescimento
2014,M,"Atividades profissionais, científicas e técnicas",75,Atividades veterinárias,6,394,386,Alto Crescimento
2014,N,Atividades administrativas e serviços complementares,77,Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros,428,42584,41929,Alto Crescimento
2014,N,Atividades administrativas e serviços complementares,78,"Seleção, agenciamento e locação de mão-de-obra",379,203079,202537,Alto Crescimento
2014,N,Atividades administrativas e serviços complementares,79,"Agências de viagens, operadores turísticos e serviços de reservas",98,6875,6702,Alto Crescimento
2014,N,Atividades administrativas e serviços complementares,80,"Atividades de vigilância, segurança e investigação",475,213068,212428,Alto Crescimento
2014,N,Atividades administrativas e serviços complementares,81,Serviços para edifícios e atividades paisagísticas,965,254326,253009,Alto Crescimento
2014,N,Atividades administrativas e serviços complementares,82,"Serviços de escritório, de apoio administrativo e outros serviços prestados às empresas",769,308070,306951,Alto Crescimento
2014,O,"Administração pública, defesa e seguridade social",84,"Administração pública, defesa e seguridade social",2,-1,-1,Alto Crescimento
2014,P,Educação,85,Educação,1330,87103,84534,Alto Crescimento
2014,Q,Saúde humana e serviços sociais,86,Atividades de atenção à saúde humana,615,73564,71388,Alto Crescimento
2014,Q,Saúde humana e serviços sociais,87,"Atividades de atenção à saúde humana integradas com assistência social, prestadas em residências coletivas e particulares",49,-1,-1,Alto Crescimento
2014,Q,Saúde humana e serviços sociais,88,Serviços de assistência social sem alojamento,1,-1,-1,Alto Crescimento
2014,R,"Artes, cultura, esporte e recreação",90,"Atividades artísticas, criativas e de espetáculos",10,453,431,Alto Crescimento
2014,R,"Artes, cultura, esporte e recreação",91,Atividades ligadas ao patrimônio cultural e ambiental,3,131,125,Alto Crescimento
2014,R,"Artes, cultura, esporte e recreação",92,Atividades de exploração de jogos de azar e apostas,-1,-1,-1,Alto Crescimento
2014,R,"Artes, cultura, esporte e recreação",93,Atividades esportivas e de recreação e lazer,136,9566,9371,Alto Crescimento
2014,S,Outras atividades de serviços,94,Atividades de organizações associativas,8,458,415,Alto Crescimento
2014,S,Outras atividades de serviços,95,Reparação e manutenção de equipamentos de informática e comunicação e de objetos pessoais e domésticos,173,16202,15955,Alto Crescimento
2014,S,Outras atividades de serviços,96,Outras atividades de serviços pessoais,216,16614,16282,Alto Crescimento
2014,U,Organismos internacionais e outras instituições extraterritoriais,99,Organismos internacionais e outras instituições extraterritoriais,-1,-1,-1,Alto Crescimento
2014,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",1,"Agricultura, pecuária e serviços relacionados",111,26852,26649,Gazela
2014,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",2,Produção florestal,33,4398,4327,Gazela
2014,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",3,Pesca e aquicultura,6,408,395,Gazela
2014,B,Indústrias extrativas,5,Extração de carvão mineral,-1,-1,-1,Gazela
2014,B,Indústrias extrativas,6,Extração de petróleo e gás natural,3,197,197,Gazela
2014,B,Indústrias extrativas,7,Extração de minerais metálicos,12,2625,2608,Gazela
2014,B,Indústrias extrativas,8,Extração de minerais não-metálicos,23,1117,1064,Gazela
2014,B,Indústrias extrativas,9,Atividades de apoio à extração de minerais,12,8676,8666,Gazela
2014,C,Indústrias de transformação,10,Fabricação de produtos alimentícios,282,34686,34287,Gazela
2014,C,Indústrias de transformação,11,Fabricação de bebidas,18,2033,2013,Gazela
2014,C,Indústrias de transformação,12,Fabricação de produtos do fumo,2,-1,-1,Gazela
2014,C,Indústrias de transformação,13,Fabricação de produtos têxteis,98,6797,6669,Gazela
2014,C,Indústrias de transformação,14,Confecção de artigos do vestuário e acessórios,443,31467,30900,Gazela
2014,C,Indústrias de transformação,15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",165,13593,13381,Gazela
2014,C,Indústrias de transformação,16,Fabricação de produtos de madeira,85,4501,4384,Gazela
2014,C,Indústrias de transformação,17,"Fabricação de celulose, papel e produtos de papel",39,2715,2669,Gazela
2014,C,Indústrias de transformação,18,Impressão e reprodução de gravações,39,2249,2193,Gazela
