base_de_dados,year,seção_id,seção_descrição,divisão_id,divisão_descrição,numero_de_empresas,pessoal_ocupado_total,pessoal_ocupado_assalariados,segmento
geral,2014,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",1,"Agricultura, pecuária e serviços relacionados",3712.0,313122.0,303566.0,Geral
geral,2014,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",2,Produção florestal,1231.0,78834.0,76387.0,Geral
geral,2014,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",3,Pesca e aquicultura,213.0,9188.0,8708.0,Geral
geral,2014,B,Indústrias extrativas,5,Extração de carvão mineral,14.0,5734.0,5726.0,Geral
geral,2014,B,Indústrias extrativas,6,Extração de petróleo e gás natural,35.0,3800.0,3745.0,Geral
geral,2014,B,Indústrias extrativas,7,Extração de minerais metálicos,176.0,87496.0,87168.0,Geral
geral,2014,B,Indústrias extrativas,8,Extração de minerais não-metálicos,1941.0,78751.0,74977.0,Geral
geral,2014,B,Indústrias extrativas,9,Atividades de apoio à extração de minerais,119.0,39041.0,38945.0,Geral
geral,2014,C,Indústrias de transformação,10,Fabricação de produtos alimentícios,12128.0,1655200.0,1634760.0,Geral
geral,2014,C,Indústrias de transformação,11,Fabricação de bebidas,890.0,171314.0,169858.0,Geral
geral,2014,C,Indústrias de transformação,12,Fabricação de produtos do fumo,58.0,16937.0,16841.0,Geral
geral,2014,C,Indústrias de transformação,13,Fabricação de produtos têxteis,3395.0,271921.0,266400.0,Geral
geral,2014,C,Indústrias de transformação,14,Confecção de artigos do vestuário e acessórios,14805.0,624463.0,601487.0,Geral
geral,2014,C,Indústrias de transformação,15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",4228.0,362264.0,356157.0,Geral
geral,2014,C,Indústrias de transformação,16,Fabricação de produtos de madeira,4412.0,176528.0,169472.0,Geral
geral,2014,C,Indústrias de transformação,17,"Fabricação de celulose, papel e produtos de papel",1901.0,188946.0,185857.0,Geral
geral,2014,C,Indústrias de transformação,18,Impressão e reprodução de gravações,2310.0,85758.0,82023.0,Geral
geral,2014,C,Indústrias de transformação,19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",278.0,184250.0,183788.0,Geral
geral,2014,C,Indústrias de transformação,20,Fabricação de produtos químicos,3212.0,313392.0,308184.0,Geral
geral,2014,C,Indústrias de transformação,21,Fabricação de produtos farmoquímicos e farmacêuticos,382.0,113188.0,112628.0,Geral
geral,2014,C,Indústrias de transformação,22,Fabricação de produtos de borracha e de material plástico,6335.0,416082.0,405751.0,Geral
geral,2014,C,Indústrias de transformação,23,Fabricação de produtos de minerais não-metálicos,9495.0,440292.0,424398.0,Geral
geral,2014,C,Indústrias de transformação,24,Metalurgia,1545.0,249405.0,246799.0,Geral
geral,2014,C,Indústrias de transformação,25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",10036.0,463250.0,446488.0,Geral
