year,seção_id,seção_descrição,divisão_id,divisão_descrição,numero_de_empresas,numero_de_empresas,pessoal_ocupado_assalariados,pessoal_ocupado_assalariados,pessoal_ocupado_total,pessoal_ocupado_total
,,,,,Até 8 anos de idade,Mais de 8 anos de idade,Até 8 anos de idade,Mais de 8 anos de idade,Até 8 anos de idade,Mais de 8 anos de idade
2014,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",1,"Agricultura, pecuária e serviços relacionados",1486,3712,93955,303566,96868,313122
2014,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",2,Produção florestal,640,1231,25431,76387,26557,78834
2014,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",3,Pesca e aquicultura,83,213,2237,8708,2412,9188
2014,B,Indústrias extrativas,5,Extração de carvão mineral,-1,14,-1,5726,-1,5734
2014,B,Indústrias extrativas,6,Extração de petróleo e gás natural,18,35,1700,3745,1713,3800
2014,B,Indústrias extrativas,7,Extração de minerais metálicos,69,176,10271,87168,10385,87496
2014,B,Indústrias extrativas,8,Extração de minerais não-metálicos,426,1941,10757,74977,11474,78751
2014,B,Indústrias extrativas,9,Atividades de apoio à extração de minerais,61,119,13312,38945,13362,39041
2014,C,Indústrias de transformação,10,Fabricação de produtos alimentícios,3476,12128,199702,1634760,205144,1655200
2014,C,Indústrias de transformação,11,Fabricação de bebidas,201,890,12616,169858,12904,171314
2014,C,Indústrias de transformação,12,Fabricação de produtos do fumo,11,58,554,16841,583,16937
2014,C,Indústrias de transformação,13,Fabricação de produtos têxteis,1081,3395,37590,266400,39150,271921
2014,C,Indústrias de transformação,14,Confecção de artigos do vestuário e acessórios,6152,14805,183184,601487,191981,624463
2014,C,Indústrias de transformação,15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",1864,4228,71607,356157,74113,362264
2014,C,Indústrias de transformação,16,Fabricação de produtos de madeira,1534,4412,39728,169472,41898,176528
2014,C,Indústrias de transformação,17,"Fabricação de celulose, papel e produtos de papel",541,1901,24407,185857,25188,188946
2014,C,Indústrias de transformação,18,Impressão e reprodução de gravações,662,2310,14753,82023,15713,85758
2014,C,Indústrias de transformação,19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",78,278,31904,183788,31996,184250
2014,C,Indústrias de transformação,20,Fabricação de produtos químicos,619,3212,26704,308184,27654,313392
2014,C,Indústrias de transformação,21,Fabricação de produtos farmoquímicos e farmacêuticos,36,382,3908,112628,3947,113188
2014,C,Indústrias de transformação,22,Fabricação de produtos de borracha e de material plástico,1801,6335,63691,405751,66404,416082
2014,C,Indústrias de transformação,23,Fabricação de produtos de minerais não-metálicos,2981,9495,87161,424398,91729,440292
2014,C,Indústrias de transformação,24,Metalurgia,357,1545,16454,246799,16965,249405
2014,C,Indústrias de transformação,25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",3063,10036,104178,446488,108863,463250
2014,C,Indústrias de transformação,26,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",339,1355,24479,160794,24941,162956
2014,C,Indústrias de transformação,27,"Fabricação de máquinas, aparelhos e materiais elétricos",495,1953,28828,248738,29530,251901
2014,C,Indústrias de transformação,28,Fabricação de máquinas e equipamentos,1293,5775,39385,401390,41333,411098
2014,C,Indústrias de transformação,29,"Fabricação de veículos automotores, reboques e carrocerias",586,2470,32899,491123,33790,495010
2014,C,Indústrias de transformação,30,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",171,546,37070,129985,37295,130781
2014,C,Indústrias de transformação,31,Fabricação de móveis,1679,5197,49167,238816,51711,247399
2014,C,Indústrias de transformação,32,Fabricação de produtos diversos,921,3049,23151,144287,24529,149238
2014,C,Indústrias de transformação,33,"Manutenção, reparação e instalação de máquinas e equipamentos",1849,3504,54180,164381,56934,169901
2014,D,Eletricidade e gás,35,"Eletricidade, gás e outras utilidades",152,473,12782,122096,13157,123243
2014,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",36,"Captação, tratamento e distribuição de água",66,179,4059,101010,4134,101244
2014,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",37,Esgoto e atividades relacionadas,72,212,5715,14985,5804,15278
2014,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",38,"Coleta, tratamento e disposição de resíduos; recuperação de materiais",671,1503,42002,227410,42968,229644
2014,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",39,Descontaminação e outros serviços de gestão de resíduos,8,20,250,1287,262,1322
2014,F,Construção,41,Construção de edifícios,10498,19429,435318,1095784,450871,1127017
2014,F,Construção,42,Obras de infraestrutura,2318,5604,246899,978383,250204,987444
2014,F,Construção,43,Serviços especializados para construção,8512,14400,254679,596374,266739,618170
2014,G,Comércio; reparação de veículos automotores e motocicletas,45,Comércio e reparação de veículos automotores e motocicletas,5512,17572,140085,617545,148166,645538
2014,G,Comércio; reparação de veículos automotores e motocicletas,46,"Comércio por atacado, exceto veículos automotores e motocicletas",8973,26485,270173,1379326,283431,1420859
